Data;licznik (Km);Zaplacilem;zl/L;L;dnie od ostatniego tankowania;spalane ;koszt 1Km;koszt 100Km;Droga;??zcnie przejechane kilometry;??cznie zap?aci?em ;?rednio za L/z? ;??cznie litrów;?rednie spalanie ;Lepiej (+) gorzej (-);Srednia dni od poprzedniego tankowania;Srednia kosztu 100km;Przebieg;Dzien wyp?aty (10 dzien miesiaca (RRRR.MM));Od wyp?aty do wyp?aty ile kasy trzeba;;;;;
07.12.2023;405;319,55 z?;7,04 z?;45,39;;11,20740741;0,79 z?;78,90 z?;;30709,4;18 467,66 z?;6,46 z?;2845,61;9,266250725;-1,941156683;10,54285714;60,47 z?;176703;2023.11;319,55 z?;;;;;
19.12.2023;416,7;322,45 z?;6,93 z?;46,53;12;11,1663067;0,77 z?;77,38 z?;;;;;;;-1,900055971;;;;;;;;;;
04.01.2024;398,1;292,47 z?;6,99 z?;42,51;16;10,67822155;0,73 z?;73,47 z?;;;;;;;-1,411970828;;;;2023.12;614,92 z?;;;;;
16.01.2024;372,2;293,93 z?;6,89 z?;42,66;12;11,4615798;0,79 z?;78,97 z?;;;;;;;-2,195329071;;;;;;;;;;
26.01.2024;397,4;300,29 z?;6,99 z?;42,96;10;10,81026673;0,76 z?;75,56 z?;;;;;;;-1,544016009;;;;2024.01;616,97 z?;;;;;
08.02.2024;444,9;323,04 z?;7,15 z?;45,18;13;10,15509103;0,73 z?;72,61 z?;;;;;;;-0,888840307;;;;;;;;;;
20.02.2024;459,5;346,81 z?;7,24 z?;47,91;12;10,4265506;0,75 z?;75,48 z?;;;;;;;-1,160299874;;;;2024.02;675,39 z?;;;;;
02.03.2024;441,3;328,58 z?;7,19 z?;45,7;11;10,35576705;0,74 z?;74,46 z?;;;;;;;-1,089516327;;;180032;;;;;;;
13.03.2024;398,8;310,68 z?;7,19 z?;43,31;11;10,86008024;0,78 z?;77,90 z?;;;;;;;-1,593829516;;;;2024.03;;;;;;
23.03.2024;417,8;321,71 z?;7,35 z?;43,77;10;10,47630445;0,77 z?;77,00 z?;;;;;;;-1,210053727;;;;;;;;;;
05.04.2024;455,4;315,76 z?;7,11 z?;44,41;13;9,751866491;0,69 z?;69,34 z?;;;;;;;-0,485615766;;;;;948,15 z?;;;;;
14.04.2024;514,3;333,94 z?;7,14 z?;46,77;9;9,093914058;0,65 z?;64,93 z?;;;;;;;0,172336667;;;181420;2024.04;;;;;;
23.04.2024;414;302,46 z?;7,12 z?;42,48;9;10,26086957;0,73 z?;73,06 z?;;;;;;;-0,994618841;;;;;;;;;;
04.05.2024;464,2;293,31 z?;7,14 z?;41,08;11;8,849633779;0,63 z?;63,19 z?;;;;;;;0,416616946;;;182298;;929,71 z?;;;;;
14.05.2024;460,3;298,49 z?;7,09 z?;42,1;10;9,146208994;0,65 z?;64,85 z?;;;;;;;0,12004173;;;;2024.05;;;;;;
26.05.2024;454,2;291,13 z?;6,99 z?;41,65;12;9,169969177;0,64 z?;64,10 z?;;;;;;;0,096281548;;;1378;;589,62 z?;;;;;
09.06.2024;458,1;294,34 z?;6,97 z?;42,23;14;9,218511242;0,64 z?;64,25 z?;;;;;;;0,047739482;;;183676;2024.06;;;;;;
19.06.2024;430,9;268,98 z?;6,97 z?;38,48;10;8,930146206;0,62 z?;62,42 z?;;;;;;;0,336104519;;;;;;;;;;
30.06.2024;460,6;281,10 z?;7,07 z?;39,76;11;8,632218845;0,61 z?;61,03 z?;;;;;;;0,63403188;;;184568;;844,42 z?;;;;;
12.07.2024;519,1;329,38 z?;7,05 z?;46,72;12;9,000192641;0,63 z?;63,45 z?;;;;;;;0,266058083;;;185087;2024.07;;;;;;
28.07.2024;506,5;281,31 z?;6,96 z?;41,28;16;8,150049358;0,56 z?;55,54 z?;;;;;;;1,116201366;;;;;;;;;;
07.08.2024;432,2;305,35 z?;6,38 z?;47,86;10;11,07357705;0,71 z?;70,65 z?;;;;;;;-1,807326323;;;;;916,04 z?;;;;;
14.08.2024;577;266,02 z?;6,39 z?;41,63;7;7,214904679;0,46 z?;46,10 z?;;;;;;;2,051346045;;;;2024.08;;;;;;
20.08.2024;306,6;170,27 z?;6,73 z?;25,3;6;8,251793868;0,56 z?;55,53 z?;;;;;;;1,014456856;;;;;;;;;;
20.08.2024;509;272,41 z?;6,36 z?;39,71;0;7,801571709;0,54 z?;53,52 z?;;;;;;;1,464679015;;;;;;;;;;
04.09.2024;460,2;293,62 z?;6,69 z?;43,89;15;9,537157757;0,64 z?;63,80 z?;;;;;;;-0,270907033;;;;;;;;;;
28.09.2024;404,3;174,96 z?;6,36 z?;27,51;24;6,804353203;0,43 z?;43,27 z?;;;;;;;2,461897521;;;;2024.09;1 177,28 z?;;;;;
20.10.2024;365,9;232,22 z?;6,56 z?;35,4;22;9,674774529;0,63 z?;63,47 z?;;;;;;;-0,408523804;;;;2024.10;;;;;;
21.10.2024;403,7;213,77 z?;5,92 z?;36,11;1;8,944760961;0,53 z?;52,95 z?;Lublin kraków;;;;;;0,321489763;;;;;;;;;;
27.10.2024;517,9;310,69 z?;6,66 z?;46,65;6;9,007530411;0,60 z?;59,99 z?;;;;;;;0,258720313;;;190571;;;;;;;
05.11.2024;447,6;275,73 z?;6,39 z?;43,13;9;9,635835567;0,62 z?;61,60 z?;Lublin Warszawa;;;;;;-0,369584843;;;;;;;;;;
07.11.2024;233,1;142,58 z?;6,65 z?;21,44;2;9,197769198;0,61 z?;61,17 z?;Warszawa Lublin;;;;;;0,068481527;;;;;1 174,99 z?;;;;;
10.11.2024;454,9;282,36 z?;6,65 z?;42,46;3;9,333919543;0,62 z?;62,07 z?;;;;;;;-0,067668818;;;;2024.11;;;;;;
24.11.2024;411,2;289,10 z?;6,75 z?;42,83;14;10,41585603;0,70 z?;70,31 z?;;;;;;;-1,149605307;;;192118;;;;;;;
08.12.2024;519,6;299,93 z?;6,22 z?;48,22;14;9,28021555;0,58 z?;57,72 z?;;w roku 2024 przejechalem;;;;;-0,013964826;;;;;871,39 z?;;;;;
17.12.2024;352;254,05 z?;6,78 z?;37,47;9;10,64488636;0,72 z?;72,17 z?;;w roku 2024 przejechalem;;;;;-1,378635639;;;;;;;;;;
29.12.2024;505,8;275,12 z?;6,29 z?;43,74;12;8,647686833;0,54 z?;54,39 z?;Lublin Warszawa Lublin;17056;;;;;0,618563892;;;193759;2024.12;529,17 z?;;;;;
12.01.2025;371,8;259,53 z?;6,44 z?;40,3;14;10,83916084;0,70 z?;69,80 z?;;;;;;;-1,572910115;;;194134;2025.01;;;;;;
26.01.2025;288,8;178,45 z?;6,38 z?;27,97;14;9,684903047;0,62 z?;61,79 z?;;;;;;;-0,418652323;;;;;;;;;xd;
30.01.2025;555,8;295,00 z?;6,38 z?;46,25;4;8,321338611;0,53 z?;53,08 z?;Lublin Warszawa Lublin;;;;;;0,944912114;;;195365;;732,98 z?;;;;;
18.02.2025;455,4;278,62 z?;6,37 z?;43,74;19;9,604743083;0,61 z?;61,18 z?;Lublin Warszawa Lublin;;;;;;-0,338492358;;;196529;2025.02;;;;;;
03.03.2025;483,6;298,10 z?;6,26 z?;47,62;13;9,846980976;0,62 z?;61,64 z?;;;;;;;-0,580730251;;;;;576,72 z?;;;;;
10.03.2025;534,8;325,80 z?;6,69 z?;48,7;7;9,106207928;0,61 z?;60,92 z?;Lublin Warszawa Lublin;;;;;;0,160042796;;;;2025.03;;;;;;
14.03.2025;535,6;265,53 z?;6,22 z?;42,69;4;7,970500373;0,50 z?;49,58 z?;Lublin Warszawa Lublin;;;;;;1,295750351;;;198089;Wymiana oleju;;;;;;
28.03.2025;440,3;285,92 z?;6,05 z?;47,92;14;10,88348853;0,65 z?;64,94 z?;;;;;;;-1,617237806;;;198529;;;;;;;
06.kwi;349,6;191,69 z?;6,14 z?;31,22;9;8,93020595;0,55 z?;54,83 z?;Lublin Warszawa Lublin;;;;;;0,336044775;;;;;1 333,43 z?;;;;;
09.04.2025;546,8;264,49 z?;6,04 z?;43,79;3;8,008412582;0,48 z?;48,37 z?;Lublin Warszawa Lublin;;;;;;1,257838142;;;;2025.04;;;;;;
20.04.2025;330,9;167,81 z?;5,94 z?;28,25;11;8,537322454;0,51 z?;50,71 z?;;;;;;;0,728928271;;;;;;;;;;
21.04.2025;403,6;201,59 z?;6,28 z?;32,1;1;7,953419227;0,50 z?;49,95 z?;;;;;;;1,312831498;;;200160;;;;;;;
05.05.2025;465,9;270,74 z?;6,44 z?;42,04;14;9,023395578;0,58 z?;58,11 z?;;;;;;;0,242855146;;;;2025.05;640,14 z?;;;;;
23.05.2025;521,6;292,41 z?;5,88 z?;49,73;18;9,534125767;0,56 z?;56,06 z?;;;;;;;-0,267875042;;;;;;;;;;
07.06.2025;528,3;271,06 z?;5,58 z?;46,02;15;8,710959682;0,51 z?;51,31 z?;;;;;;;0,555291043;;;;;;;;;;
16.06.2025;301,6;160,90 z?;5,79 z?;27,79;9;9,214190981;0,53 z?;53,35 z?;;;;;;;0,052059743;;;;2025.06;;;;;;
03.07.2025;560;285,95 z?;6,04 z?;47,35;17;8,455357143;0,51 z?;51,06 z?;;;;;;;0,810893582;;;202537;;1 010,32 z?;;;;;
10.07.2025;339;175,04 z?;6,04 z?;28,98;7;8,548672566;0,52 z?;51,63 z?;;;;;;;0,717578158;;;;2025.07;;;;;;
25.07.2025;513,1;258,87 z?;5,94 z?;43,58;15;8,493471058;0,50 z?;50,45 z?;;;;;;;0,772779666;;;;;;;;;;
31.07.2025;291,4;159,25 z?;5,94 z?;26,81;6;9,200411805;0,55 z?;54,65 z?;;;;;;;0,065838919;;;;;;;;;;
03.08.2025;512;243,79 z?;5,84 z?;41,39;3;8,083984375;0,48 z?;47,62 z?;Lublin Warszawa Lublin;;;;;;1,18226635;;;;;836,95 z?;;;;;
13.08.2025;335;178,70 z?;5,84 z?;30,6;10;9,134328358;0,53 z?;53,34 z?;;;;;;;0,131922366;;;;2025.08;;;;;;
27.08.2025;424,3;217,82 z?;5,79 z?;37,62;14;8,866368136;0,51 z?;51,34 z?;;;;;;;0,399882589;;;204953;;396,52 z?;;;;;
11.09.2025;436;217,82 z?;5,81 z?;37,49;15;8,598623853;0,50 z?;49,96 z?;;;;;;;0,667626871;;;205389;2025.09;;;;;;
15.09.2025;525,7;252,17 z?;5,84 z?;43,18;4;8,213810158;0,48 z?;47,97 z?;;;;;;;1,052440567;;;205915;;;;;;;
03.10.2025;485,8;256,85 z?;5,99 z?;42,88;18;8,826677645;0,53 z?;52,87 z?;;;;;;;0,439573079;;;;;944,66 z?;;;;;
15.10.2025;386;206,79 z?;5,91 z?;34,99;12;9,064766839;0,54 z?;53,57 z?;;;;;;;0,201483885;;;;2025.10;;;;;;
25.10.2025;353;212,58 z?;5,91 z?;35,97;10;10,1898017;0,60 z?;60,22 z?;;;;;;;-0,923550975;;;207140;Wymiana oleju;;;;;;
08.11.2025;408,6;245,53 z?;6,07 z?;40,45;14;9,899657367;0,60 z?;60,09 z?;;13415;;;;;-0,633406642;;;207549;;664,90 z?;;;;;
16.11.2025;241,3;146,72 z?;6,17 z?;23,78;8;9,854952341;0,61 z?;60,80 z?;;;;;;;-0,588701617;;;;2025.11;;;;;;
27.11.2025;366,8;238,52 z?;6,06 z?;39,36;11;10,7306434;0,65 z?;65,03 z?;;;;;;;-1,464392678;;;;;;;;;;
30.11.2025;382,3;188,57 z?;5,99 z?;31,48;3;8,234370913;0,49 z?;49,33 z?;;;;;;;1,031879812;;;208539;;;;;;;
05.12.2025;464,4;241,03 z?;6,05 z?;39,84;5;8,57881137;0,52 z?;51,90 z?;;;;;;;0,687439355;;;;;814,84 z?;;;;;
14.12.2025;380;226,13 z?;6,03 z?;37,5;9;9,868421053;0,60 z?;59,51 z?;;;;;;;-0,602170328;;;;2025.12;226,13 z?;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
